transaction_id,guest_name,room_no,folio_no,transaction_date,amount_rm,card_last4,payment_method,allocation_status
TXN001299,Guest 0432,219,34302,invalid-date,198.68,9145,Visa,Unmatched
TXN001396,Guest 0637,123,30473,2025-02-23,858.64,4554,Visa,Unmatched
TXN001840,Guest 0763,596,34305,2025-02-19,195.28,7736,Mastercard,Matched
TXN000545,Guest 0645,412,31732,2025-03-16,212.87,2780,American Express,Matched
TXN001957,  Guest 0417  ,253,36871,2025-02-17,319.21,9836,Mastercard,Matched
TXN000974,Guest 0786,640,36763,2025-02-12,517.81,5870,Visa,Matched
TXN001710,Guest 0680,630,36038,2025-01-20,421.37,8171,Mastercard,Matched
TXN000030,Guest 0275,390,32786,2025-02-09,577.29,8700,Mastercard,Matched
TXN000544,Guest 0305,529,35947,2025-01-16,389.25,8652,Mastercard,Matched
TXN001451,Guest 0380,278,37783,2025-01-27,352.09,8304,Mastercard,Matched
TXN000810,Guest 0152,664,38779,2025-03-31,366.17,7467,Mastercard,Matched
TXN000775,Guest 0437,289,39388,2025-03-18,316.47,8714,Visa,Matched
TXN000057,Guest 0588,692,30045,2025-02-19,390.84,1073,Mastercard,Matched
TXN000520,Guest 0798,400,30429,2025-02-23,207.52,1567,Mastercard,Matched
TXN000585,Guest 0281,511,37287,2025-02-06,297.56,3337,Visa,Matched
TXN000671,Guest 0634,168,31873,2025-03-27,342.95,5196,American Express,Pending
TXN000252,Guest 0442,370,31930,2025-02-14,572.95,7067,American Express,Matched
TXN000100,Guest 0198,336,32486,2025-01-13,577.28,5528,Mastercard,Matched
TXN000568,Guest 0507,592,30942,2025-01-23,591.07,7462,Mastercard,Matched
TXN000589,Guest 0777,524,32379,2025-03-17,342.68,8772,Visa,Matched
TXN000299,Guest 0178,126,32961,2025-01-26,448.03,0516,Visa,Matched
TXN001556,Guest 0358,460,30782,2025-01-15,412.8,6199,Visa,Matched
TXN000423,Guest 0084,635,31742,2025-03-10,1224.51,6584,Mastercard,Matched
TXN001780,Guest 0358,189,32547,2025-03-03,947.75,7082,Visa,Matched
TXN001525,Guest 0233,529,34038,2025-02-24,245.28,1040,Mastercard,Matched
TXN001862,Guest 0516,516,35314,2025-01-27,484.06,9655,Mastercard,Matched
TXN001693,Guest 0157,720,33740,2025-03-01,1129.36,5847,Mastercard,Matched
TXN001544,Guest 0620,659,39612,2025-02-21,276.25,4898,Visa,Matched
TXN000496,Guest 0165,539,38019,2025-02-07,1044.09,2788,Mastercard,Matched
TXN001289,Guest 0140,286,34387,2025-01-10,463.69,0252,Mastercard,Matched
TXN001476,Guest 0173,471,37247,2025-01-28,549.3,7582,Mastercard,Pending
TXN000071,Guest 0152,168,31288,2025-03-13,671.41,5207,Visa,Pending
TXN000276,Guest 0340,641,30568,2025-02-13,1628.97,6228,American Express,Matched
TXN001054,Guest 0287,739,31085,2025-03-28,629.31,7576,Mastercard,Matched
TXN001035,Guest 0080,115,38487,2025-01-06,385.51,6220,Mastercard,Matched
TXN000066,Guest 0408,342,32538,2025-01-30,1136.19,0832,Visa,Matched
TXN001660,Guest 0395,615,36243,2025-01-23,228.81,0628,Mastercard,Unmatched
TXN001606,Guest 0109,143,33123,2025-03-22,317.04,4077,Visa,Matched
TXN001086,Guest 0289,338,38858,2025-03-17,307.2,8033,Mastercard,Matched
TXN001232,Guest 0171,446,36945,2025-03-08,577.02,8062,Visa,Matched
TXN000395,Guest 0379,456,35788,2025-03-06,299.68,3542,Mastercard,Matched
TXN000924,Guest 0433,575,37895,2025-01-14,152.78,1793,Mastercard,Matched
TXN001765,Guest 0331,320,34675,2025-02-21,452.84,2709,Visa,Matched
TXN000112,Guest 0540,436,34955,2025-03-12,447.13,9797,Mastercard,Matched
TXN000353,Guest 0572,486,31279,2025-01-27,523.48,1550,Mastercard,Matched
TXN001653,Guest 0328,140,32860,2025-01-05,1089.67,8985,Visa,Matched
TXN000860,Guest 0357,630,38216,2025-03-14,798.6,7573,American Express,Matched
TXN001246,Guest 0648,260,34509,2025-03-30,939.05,4350,Mastercard,Matched
TXN001982,Guest 0071,653,39796,2025-02-26,391.84,1973,Visa,Pending
TXN001229,Guest 0591,161,39164,2025-01-14,559.71,7190,Visa,Pending
TXN001406,Guest 0282,372,35740,2025-01-14,404.44,9099,American Express,Matched
TXN001270,Guest 0787,465,35890,2025-01-05,959.52,3528,Visa,Matched
TXN001062,Guest 0247,534,30487,2025-03-03,537.42,6017,American Express,Matched
TXN000629,Guest 0494,633,34364,2025-02-15,269.61,9019,American Express,Matched
TXN000412,Guest 0040,511,34167,2025-01-21,2352.14,6508,Visa,Matched
TXN001445,Guest 0735,276,36763,2025-01-13,769.15,9121,Mastercard,Unmatched
TXN000536,Guest 0783,455,37634,2025-01-14,254.39,4887,Visa,Matched
TXN001337,Guest 0419,617,39696,2025-02-27,796.5,3606,Mastercard,Matched
TXN001191,Guest 0003,613,34755,2025-02-07,264.84,0151,American Express,Matched
TXN001517,Guest 0136,468,30126,2025-02-13,660.86,8538,master card,Unmatched
TXN000070,  Guest 0336  ,171,39853,2025-02-12,387.76,8003,Visa,Matched
TXN001125,Guest 0353,181,30758,2025-03-17,887.69,1657,American Express,Matched
TXN000555,Guest 0786,596,34163,2025-03-30,810.36,2614,American Express,Pending
TXN000975,Guest 0014,661,33055,2025-01-14,315.58,0345,Mastercard,Matched
TXN001300,Guest 0643,692,38591,2025-01-03,257.16,2341,American Express,Matched
TXN001252,Guest 0598,396,35606,2025-02-07,139.14,4356,Visa,Matched
TXN001991,Guest 0604,135,32423,2025-02-17,565.99,1540,Visa,Matched
TXN000582,Guest 0370,780,33527,2025-03-17,373.85,9055,American Express,Matched
TXN001906,Guest 0611,204,39443,2025-01-23,724.78,5285,Mastercard,Pending
TXN001963,Guest 0526,680,35957,2025-01-13,491.51,2669,Visa,Matched
TXN000722,Guest 0535,681,33180,2025-03-25,252.56,7585,Visa,Matched
TXN001193,Guest 0537,447,35672,2025-01-16,275.13,2996,Visa,Matched
TXN001745,Guest 0194,112,31633,2025-01-19,683.63,4636,Mastercard,Matched
TXN000786,Guest 0095,352,39741,2025-02-22,296.27,8128,Visa,Matched
TXN001090,Guest 0374,469,33300,2025-01-13,684.97,3490,Visa,Matched
TXN001470,Guest 0694,291,31672,2025-01-06,374.6,5049,Mastercard,Unmatched
TXN001549,Guest 0247,254,34691,2025-02-14,160.64,3714,Visa,Unmatched
TXN000766,Guest 0428,206,39223,2025-03-12,484.61,9166,Mastercard,Matched
TXN001302,Guest 0213,795,32973,2025-02-06,213.84,6230,Mastercard,Matched
TXN001947,Guest 0019,283,37168,2025-01-15,280.67,5949,Mastercard,Matched
TXN001014,Guest 0590,758,34965,2025-01-29,703.01,1445,American Express,Matched
TXN000487,Guest 0196,480,37866,2025-01-31,235.32,6430,Mastercard,Matched
TXN000129,Guest 0052,483,33195,2025-02-21,1494.23,0738,Visa,Matched
TXN001243,Guest 0719,736,32454,2025-03-28,1091.14,6387,Visa,Matched
TXN001687,Guest 0085,631,30705,2025-02-08,574.57,2225,Visa,Matched
TXN001329,Guest 0315,229,33919,2025-03-02,274.4,3831,Visa,Matched
TXN000856,Guest 0062,584,38784,2025-03-18,1078.69,2468,Mastercard,Matched
TXN000916,Guest 0351,171,39023,2025-02-11,323.05,5887,Mastercard,Matched
TXN000362,Guest 0602,649,39370,2025-03-22,402.92,4899,Visa,Matched
TXN001786,Guest 0444,532,35158,2025-01-22,982.89,5965,Mastercard,Matched
TXN001230,Guest 0669,290,36025,2025-01-26,574.64,7156,Mastercard,Matched
TXN000257,Guest 0638,329,36242,2025-03-02,393.84,9930,Mastercard,Pending
TXN001738,Guest 0423,751,36201,2025-01-09,149.41,5945,Visa,Matched
TXN001348,Guest 0103,430,33458,2025-03-05,223.49,4239,American Express,Unmatched
TXN001188,Guest 0323,187,30868,2025-02-23,387.99,6282,Mastercard,Matched
TXN000343,Guest 0437,427,36585,2025-02-25,384.81,2758,Mastercard,Matched
TXN001950,Guest 0140,454,30763,2025-01-29,440.65,5221,American Express,Matched
TXN001757,Guest 0510,331,31436,2025-02-01,773.65,0491,Mastercard,Matched
TXN001041,Guest 0317,346,35278,2025-03-05,439.7,0316,Visa,Matched
TXN001831,Guest 0718,331,31780,2025-02-01,167.34,2276,American Express,Unmatched
TXN001833,Guest 0647,675,34040,2025-02-22,679.35,8520,Visa,Unmatched
TXN000308,Guest 0123,659,31237,2025-02-19,952.33,1471,Visa,Matched
TXN001567,Guest 0338,255,34184,2025-03-29,517.0,2700,Mastercard,Matched
TXN000768,Guest 0795,107,35568,2025-02-13,921.96,5991,American Express,Matched
TXN000969,Guest 0576,126,35472,2025-03-24,746.45,5076,Mastercard,Matched
TXN001303,Guest 0482,224,39428,2025-03-04,549.42,4801,Visa,Matched
TXN000234,Guest 0111,285,31594,2025-03-10,2980.14,4602,American Express,Matched
TXN000232,Guest 0056,749,36324,2025-03-19,527.38,6024,Visa,Matched
TXN001217,Guest 0005,650,36124,2025-02-15,336.72,2504,Visa,Matched
TXN001804,Guest 0018,751,38102,2025-01-24,79.63,1191,Mastercard,Unmatched
TXN001006,Guest 0297,765,30006,2025-03-24,245.04,0785,Mastercard,Matched
TXN001346,Guest 0608,379,32962,2025-03-31,1005.34,1293,Mastercard,Matched
TXN001068,Guest 0565,112,31643,2025-02-27,317.0,4790,Visa,Matched
TXN000901,Guest 0406,342,30371,2025-01-01,326.15,0677,master card,Pending
TXN000809,Guest 0634,373,30498,2025-02-05,718.9,9851,Mastercard,Matched
TXN001183,Guest 0598,546,30605,2025-03-04,527.19,5941,Mastercard,Matched
TXN000355,Guest 0248,438,37381,2025-03-29,344.9,2274,Visa,Matched
TXN000995,Guest 0617,550,37480,2025-02-17,452.22,0430,Visa,Matched
TXN001306,Guest 0204,669,33092,2025-03-02,350.6,1223,Mastercard,Matched
TXN001259,Guest 0452,568,31430,2025-02-18,157.72,5870,American Express,Matched
TXN000306,Guest 0077,639,33538,2025-01-13,414.39,1860,Mastercard,Pending
TXN000965,Guest 0588,761,30811,2025-03-27,211.98,7684,Visa,Matched
TXN001680,Guest 0587,132,32829,2025-02-16,685.9,6223,Visa,Matched
TXN001836,Guest 0580,698,35448,2025-01-13,638.76,5976,Visa,Matched
TXN000783,Guest 0610,340,33970,2025-01-12,819.7,6272,Mastercard,Matched
TXN000753,Guest 0467,664,36117,2025-01-08,182.63,2318,Mastercard,Matched
TXN000533,Guest 0740,593,34993,2025-01-15,535.51,3501,Mastercard,Unmatched
TXN001311,Guest 0411,737,38725,2025-02-17,725.1,4371,American Express,Matched
TXN001269,Guest 0108,589,34724,2025-03-27,1427.38,3188,Visa,Matched
TXN000615,Guest 0084,492,32059,2025-03-03,413.3,,Mastercard,Matched
TXN000121,Guest 0616,608,32304,2025-02-09,406.3,5161,Mastercard,Matched
TXN001359,Guest 0150,147,38772,2025-01-10,194.63,6653,Mastercard,Matched
TXN001038,Guest 0124,484,35433,2025-01-02,1260.37,8983,Mastercard,Matched
TXN000793,Guest 0578,779,38511,2025-03-07,689.57,5099,Mastercard,Matched
TXN000765,Guest 0164,406,34826,2025-02-02,606.08,5933,Visa,Matched
TXN000782,Guest 0749,514,31382,2025-02-27,321.79,9108,Visa,Matched
TXN000136,Guest 0549,779,31819,2025-01-28,201.56,8631,Visa,Matched
TXN001324,Guest 0512,378,39083,2025-03-21,186.32,3113,master card,Matched
TXN000375,Guest 0560,313,31460,2025-03-21,691.47,0851,Visa,Matched
TXN000317,Guest 0070,785,37827,2025-03-07,305.17,1461,Mastercard,Matched
TXN001994,Guest 0229,558,30952,2025-02-27,372.29,3257,Visa,Matched
TXN000255,Guest 0237,339,32530,2025-03-01,597.82,9721,Mastercard,Matched
TXN000465,Guest 0372,412,31319,2025-01-01,238.66,4602,Mastercard,Pending
TXN001467,Guest 0432,124,36600,2025-02-27,464.84,5773,Visa,Matched
TXN000110,Guest 0227,327,36146,2025-03-05,759.11,9667,Mastercard,Matched
TXN001610,Guest 0540,184,30201,2025-01-12,976.57,3369,Visa,Matched
TXN000939,Guest 0723,307,37938,2025-02-11,732.38,0650,American Express,Matched
TXN001875,Guest 0497,598,32900,2025-02-06,232.5,0789,Mastercard,Matched
TXN000240,Guest 0708,268,32728,2025-02-26,1335.33,9809,Visa,Matched
TXN001227,Guest 0464,318,30153,2025-01-10,331.38,9349,Mastercard,Matched
TXN001834,Guest 0528,271,35187,2025-01-07,831.12,1731,Mastercard,Unmatched
TXN001719,Guest 0546,105,34344,2025-02-07,556.28,4364,Visa,Matched
TXN000213,Guest 0484,391,35796,2025-03-13,312.6,5113,Visa,Unmatched
TXN001770,Guest 0267,484,39744,2025-01-18,550.37,7067,Visa,Pending
TXN001442,Guest 0020,459,36382,2025-02-16,438.6,5829,Visa,Pending
TXN001860,Guest 0352,588,39099,2025-03-08,1106.1,9688,Visa,Matched
TXN000417,Guest 0496,430,32115,2025-03-29,266.86,7134,Visa,Matched
TXN000352,Guest 0601,496,30401,2025-01-05,363.87,4855,Visa,Matched
TXN001426,Guest 0784,275,39922,2025-03-15,1127.96,6778,Mastercard,Matched
TXN000904,Guest 0495,604,35592,2025-03-21,360.44,5792,Mastercard,Matched
TXN000345,Guest 0471,362,31739,2025-03-23,581.33,0467,American Express,Matched
TXN001079,Guest 0165,665,32308,2025-02-07,552.51,6747,Visa,Matched
TXN000282,Guest 0283,726,33033,2025-02-13,1432.13,1360,Visa,Matched
TXN001044,Guest 0424,494,38682,2025-02-03,282.48,6451,Visa,Unmatched
TXN000530,Guest 0462,493,33386,2025-03-24,699.2,5058,Visa,Matched
TXN001138,Guest 0382,558,38372,2025-02-02,948.43,2669,Mastercard,Matched
TXN001627,Guest 0617,393,32215,2025-02-22,542.63,4634,Mastercard,Matched
TXN000577,Guest 0217,159,30380,2025-03-25,460.59,5838,American Express,Matched
TXN001274,Guest 0323,425,38221,2025-03-02,426.7,8859,American Express,Matched
TXN000212,Guest 0620,597,36760,2025-03-06,297.83,4512,Mastercard,Matched
TXN000351,Guest 0432,526,33411,2025-02-17,1023.65,8538,Visa,Matched
TXN000325,Guest 0598,779,39437,2025-03-29,262.82,6313,Visa,Matched
TXN001889,Guest 0112,565,38313,2025-01-06,1556.14,1529,American Express,Unmatched
TXN000556,Guest 0083,252,35333,2025-02-15,317.56,4030,Mastercard,Matched
TXN000708,Guest 0244,484,33289,2025-02-21,1110.31,1946,Visa,Matched
TXN001621,Guest 0797,116,39368,2025-01-24,393.38,8312,Visa,Matched
TXN001331,Guest 0492,494,32500,2025-02-10,297.39,6253,Mastercard,Matched
TXN000050,Guest 0528,420,33141,2025-03-12,765.69,5234,Visa,Matched
TXN000211,Guest 0560,206,30598,2025-01-24,302.32,5482,Mastercard,Matched
TXN001101,Guest 0293,485,34595,2025-02-13,284.74,8461,Mastercard,Unmatched
TXN001358,Guest 0702,622,32781,2025-01-13,420.84,5779,American Express,Matched
TXN001997,Guest 0021,698,37182,2025-02-19,1147.06,4851,Visa,Matched
TXN000987,Guest 0599,776,35293,2025-02-25,278.62,6679,Mastercard,Matched
TXN001117,Guest 0503,279,35114,2025-03-31,352.67,3045,American Express,Unmatched
TXN001285,Guest 0332,794,31137,2025-02-04,533.88,8823,Mastercard,Pending
TXN000174,Guest 0612,349,32052,2025-03-07,715.76,1905,Mastercard,Matched
TXN000290,Guest 0334,316,38270,2025-02-12,180.97,4155,Mastercard,Matched
TXN001740,Guest 0667,126,34670,2025-01-19,279.98,7511,American Express,Pending
TXN000248,Guest 0142,235,34541,2025-02-07,327.72,4255,American Express,Matched
TXN000238,Guest 0217,176,32706,2025-02-08,161.97,6985,Mastercard,Matched
TXN001287,Guest 0105,301,36582,2025-03-23,969.65,3687,Visa,Pending
TXN000721,Guest 0502,500,38619,2025-01-13,303.68,3952,Visa,Matched
TXN000638,Guest 0595,447,30855,2025-01-27,451.09,7020,Visa,Matched
TXN000024,Guest 0480,301,38893,2025-03-25,675.46,1545,Mastercard,Matched
TXN000603,Guest 0625,319,34751,2025-03-08,385.94,1023,Visa,Matched
TXN000064,Guest 0576,461,30644,2025-03-29,503.04,5727,Mastercard,Matched
TXN001724,Guest 0795,468,30282,2025-03-07,1028.3,6666,Mastercard,Matched
TXN000189,Guest 0370,130,31291,2025-01-22,603.47,6886,Mastercard,Pending
TXN000706,Guest 0228,265,30387,2025-02-20,309.11,5246,Visa,Matched
TXN001935,Guest 0147,686,36637,2025-01-14,443.1,5234,Mastercard,Matched
TXN001336,Guest 0183,150,31285,2025-03-31,700.8,6252,American Express,Matched
TXN001238,Guest 0796,676,33205,2025-01-12,474.37,8447,Visa,Matched
TXN001966,Guest 0682,170,35812,2025-03-08,451.4,1238,Mastercard,Matched
TXN001468,Guest 0207,334,35791,2025-02-04,730.37,6553,Mastercard,Matched
TXN000515,Guest 0083,738,38098,2025-03-28,203.99,0682,American Express,Matched
TXN000197,Guest 0233,487,36188,2025-01-31,367.45,8167,Visa,Matched
TXN000472,Guest 0080,713,31325,2025-03-14,215.2,5046,Mastercard,Matched
TXN001936,Guest 0680,299,31581,2025-01-15,580.48,0269,Visa,Matched
TXN001286,  Guest 0375  ,502,38158,2025-01-05,610.09,8181,Mastercard,Matched
TXN000271,Guest 0257,659,35060,2025-01-27,140.48,0218,Visa,Matched
TXN000439,Guest 0676,341,30749,2025-01-08,272.72,8144,Visa,Unmatched
TXN000101,Guest 0731,165,32066,2025-03-16,281.21,7463,Mastercard,Matched
TXN001667,Guest 0472,242,35658,2025-03-09,827.69,7279,Visa,Matched
TXN001539,Guest 0423,671,32926,2025-03-05,184.7,3677,Mastercard,Matched
TXN001954,Guest 0372,558,30547,2025-02-11,865.27,2510,Visa,Matched
TXN000221,Guest 0757,179,32813,2025-01-12,396.38,0057,American Express,Matched
TXN000367,Guest 0270,217,38260,2025-02-12,553.66,4384,American Express,Matched
TXN001135,Guest 0569,608,30160,2025-02-25,548.31,9405,American Express,Matched
TXN000675,Guest 0745,682,35627,2025-02-25,483.86,9199,Visa,Matched
TXN001059,Guest 0312,279,39674,2025-02-08,355.95,3521,Mastercard,Matched
TXN001034,Guest 0089,202,36094,2025-01-29,334.66,5017,master card,Matched
TXN000369,Guest 0130,748,30262,2025-01-02,679.53,0964,Visa,Pending
TXN000614,Guest 0478,465,30618,2025-02-04,531.18,9427,Visa,Matched
TXN001266,Guest 0514,721,35988,2025-01-04,263.47,8244,American Express,Matched
TXN001375,Guest 0538,619,33702,2025-03-21,257.97,2190,Mastercard,Matched
TXN001648,Guest 0482,769,30310,2025-03-01,487.98,2264,Visa,Unmatched
TXN000307,Guest 0261,617,38072,2025-01-28,417.36,2885,Visa,Matched
TXN000484,Guest 0257,143,35629,2025-03-13,901.91,9078,Visa,Unmatched
TXN001629,Guest 0677,411,37199,2025-02-04,272.64,3041,Mastercard,Matched
TXN000731,Guest 0769,743,36893,2025-03-07,343.94,0959,Visa,Matched
TXN000116,Guest 0163,432,31516,2025-02-21,190.88,3677,Mastercard,Matched
TXN001953,Guest 0583,236,39095,2025-01-07,862.25,0799,Visa,Pending
TXN001404,Guest 0788,473,32440,2025-01-30,252.52,7773,Visa,Matched
TXN000483,Guest 0145,685,39461,2025-01-23,492.9,8564,Visa,Matched
TXN001605,Guest 0740,526,30767,2025-01-12,191.03,4646,Visa,Matched
TXN000652,Guest 0704,790,38468,2025-02-28,223.33,2960,Mastercard,Pending
TXN001624,Guest 0353,711,31375,2025-01-02,623.64,0852,Visa,Pending
TXN001005,Guest 0564,641,33850,2025-01-12,542.56,9259,Mastercard,Matched
TXN001275,Guest 0195,530,30732,2025-03-10,431.31,3536,Visa,Matched
TXN000079,  Guest 0207  ,273,35769,2025-02-20,240.28,6836,Visa,Matched
TXN000830,Guest 0102,441,32995,2025-01-03,731.36,8553,master card,Matched
TXN000033,Guest 0073,288,37693,2025-01-09,475.02,7939,Visa,Matched
TXN000915,Guest 0326,644,31989,2025-02-23,1000.59,6805,Mastercard,Matched
TXN000937,Guest 0615,772,34831,2025-01-15,435.39,3404,master card,Matched
TXN000383,Guest 0735,347,36076,2025-03-27,349.67,4263,Visa,Matched
TXN000631,Guest 0749,204,34855,2025-03-08,242.59,6252,Mastercard,Matched
TXN000164,Guest 0731,240,31139,2025-02-06,408.9,7251,Mastercard,Matched
TXN000204,Guest 0269,192,31954,2025-03-04,606.18,3584,Mastercard,Unmatched
TXN001356,Guest 0353,672,35715,2025-02-14,597.27,7519,Visa,Matched
TXN001194,Guest 0154,163,38694,2025-03-05,1078.59,0257,American Express,Matched
TXN001576,Guest 0549,477,31278,2025-01-29,971.96,9833,Visa,Matched
TXN000917,Guest 0497,174,30307,2025-02-18,676.51,8888,Mastercard,Matched
TXN001250,  Guest 0317  ,500,36684,2025-03-30,585.35,1371,Mastercard,Matched
TXN001981,Guest 0361,523,38813,2025-03-01,730.3,0191,American Express,Matched
TXN001713,Guest 0646,425,33791,2025-03-21,1797.67,8321,Mastercard,Unmatched
TXN001700,Guest 0608,364,32833,2025-03-28,471.43,3600,Mastercard,Matched
TXN001640,Guest 0496,746,38409,2025-01-25,767.41,6809,Mastercard,Unmatched
TXN001384,Guest 0731,367,36002,2025-03-22,272.17,0606,Mastercard,Matched
TXN000219,Guest 0230,469,30235,2025-02-10,777.07,1523,Visa,Unmatched
TXN001946,Guest 0587,190,35218,2025-01-11,200.33,4827,Mastercard,Matched
TXN001588,Guest 0552,791,31535,2025-01-08,541.22,6012,Mastercard,Matched
TXN000862,Guest 0745,679,35625,2025-03-25,1075.44,4652,Visa,Unmatched
TXN000354,Guest 0372,389,38670,2025-02-09,825.09,3115,Mastercard,Matched
TXN000713,Guest 0753,720,35649,2025-03-07,242.67,1114,Visa,Matched
TXN000060,Guest 0323,515,33779,2025-03-03,251.03,1918,American Express,Pending
TXN001084,Guest 0193,406,35440,2025-02-20,430.0,4348,Visa,Matched
TXN000298,Guest 0394,639,38584,2025-02-09,387.02,9897,Visa,Matched
TXN000074,Guest 0274,759,36177,2025-01-12,387.38,2415,Visa,Unmatched
TXN000163,Guest 0323,494,32248,2025-02-06,395.13,3112,Mastercard,Matched
TXN000964,Guest 0054,265,37052,2025-01-20,492.35,7046,Visa,Pending
TXN001548,Guest 0706,135,38178,2025-03-18,610.04,5743,Visa,Matched
TXN001504,Guest 0162,607,35115,2025-01-30,905.01,4930,Mastercard,Matched
TXN001053,Guest 0602,773,36791,2025-02-15,309.56,9392,Mastercard,Matched
TXN001732,Guest 0688,187,33241,2025-03-23,615.02,3493,American Express,Matched
TXN001024,Guest 0159,394,37072,2025-03-17,270.1,1181,American Express,Matched
TXN000046,  Guest 0794  ,110,34742,2025-03-29,356.29,1829,Mastercard,Matched
TXN001264,Guest 0690,448,39651,2025-03-16,423.85,5937,Visa,Matched
TXN001108,Guest 0296,765,35192,2025-03-23,354.04,7321,Visa,Matched
TXN000433,Guest 0130,728,32540,2025-03-16,145.29,1568,Mastercard,Matched
TXN001658,Guest 0738,668,39356,2025-03-20,589.94,1087,Visa,Matched
TXN000077,Guest 0372,785,33016,2025-01-30,286.22,0344,Mastercard,Matched
TXN001932,Guest 0061,480,30903,2025-02-13,203.43,3815,Mastercard,Matched
TXN001425,Guest 0489,311,39577,2025-01-24,526.93,9598,Visa,Matched
TXN001473,Guest 0588,659,32201,2025-02-10,874.66,6408,Visa,Matched
TXN000479,Guest 0063,708,37173,2025-03-01,381.52,5000,Visa,Matched
TXN000454,Guest 0376,593,36771,2025-01-03,537.24,6564,Mastercard,Matched
TXN000384,Guest 0315,495,30268,2025-01-22,187.61,0372,Visa,Matched
TXN000927,Guest 0494,379,33864,2025-02-18,183.47,2045,American Express,Unmatched
TXN000031,Guest 0445,479,38762,2025-02-10,462.87,3080,Mastercard,Matched
TXN001393,Guest 0638,660,32834,2025-03-30,292.51,0874,Visa,Matched
TXN001524,Guest 0136,743,33269,2025-01-14,530.3,3380,American Express,Matched
TXN001000,Guest 0531,449,38542,2025-02-16,262.66,8634,Visa,Matched
TXN001114,Guest 0745,118,34982,2025-01-27,813.58,2211,Visa,Matched
TXN001058,Guest 0118,680,38376,2025-03-11,477.81,9598,Mastercard,Unmatched
TXN001174,Guest 0276,334,33904,2025-01-16,313.81,7024,Visa,Matched
TXN000863,Guest 0669,724,31795,2025-01-11,497.7,9912,American Express,Matched
TXN001562,Guest 0136,182,30849,2025-01-23,741.38,6184,Mastercard,Unmatched
TXN001579,Guest 0706,418,36205,2025-01-11,1273.9,7263,American Express,Matched
TXN001392,Guest 0419,216,34235,2025-02-17,554.76,6108,Visa,Pending
TXN001977,Guest 0516,752,30632,2025-03-25,685.66,2211,Mastercard,Unmatched
TXN000045,Guest 0223,389,35926,2025-01-07,429.92,0278,Visa,Matched
TXN000495,Guest 0335,315,32816,2025-01-27,305.8,7642,Visa,Matched
TXN000169,Guest 0749,455,38192,2025-01-31,105.98,8377,Visa,Matched
TXN000304,Guest 0704,124,35985,2025-03-22,526.02,5587,Mastercard,Matched
TXN001334,Guest 0679,726,32112,2025-03-14,303.59,8405,Visa,Matched
TXN000421,Guest 0207,605,36268,2025-03-25,609.49,4494,Mastercard,Matched
TXN001940,Guest 0408,229,31433,2025-01-19,987.68,9867,American Express,Matched
TXN000612,Guest 0743,327,30473,2025-02-11,171.34,3281,Mastercard,Matched
TXN001735,Guest 0258,556,30050,2025-03-19,652.31,0902,Visa,Unmatched
TXN001293,Guest 0191,338,32783,2025-02-09,512.24,4802,Visa,Pending
TXN001665,Guest 0411,483,37844,2025-02-17,188.65,0935,master card,Matched
TXN000586,Guest 0444,527,35790,2025-03-25,261.54,,Mastercard,Matched
TXN001975,Guest 0077,774,31341,2025-02-20,433.53,2614,Mastercard,Matched
